"{{-0.2278048523358396, 0.9206397981627638}, {-0.34499755610183885, 0.9328587355881889}, {-0.3399160956817845, 0.9301933763370519}}","{-0.1420988495384652, -0.7196782711846607, -0.6796109938372854}"
"{{-0.4589326274780409, 1.078242063665344}, {-0.4674951960629281, 1.0163882058552924}, {-0.4755673878339037, 1.0089204219404757}}","{0.4597500637492989, 0.0907772712503882, -0.8833964941671715}"
"{{-0.4755673878339037, 1.0089204219404757}, {-0.4667717630362841, 1.0724638711121717}, {-0.4589326274780409, 1.078242063665344}}","{0.45972075255204425, 0.09077451415507895, -0.8834120314173288}"
"{{-0.4674951960629281, 1.0163882058552924}, {-0.4272054383922027, 0.9663509839834822}, {-0.4341766959524494, 0.9575167245322272}}","{0.38826034993668096, 0.25985934422732726, -0.8841532796324343}"
"{{-0.4341766959524494, 0.9575167245322272}, {-0.4755673878339037, 1.0089204219404757}, {-0.4674951960629281, 1.0163882058552924}}","{0.38824319850678357, 0.2598503347187912, -0.8841634590728993}"
"{{-0.4272054383922027, 0.9663509839834822}, {-0.34499755610183885, 0.9328587355881889}, {-0.3497237198752786, 0.9231099501507185}}","{0.25986333423828994, 0.3882663114812125, -0.8841494889934239}"
"{{-0.3497237198752786, 0.9231099501507185}, {-0.4341766959524494, 0.9575167245322272}, {-0.4272054383922027, 0.9663509839834822}}","{0.25985878376772253, 0.3882608652610747, -0.8841532180597895}"
"{{-0.34499755610183885, 0.9328587355881889}, {-0.2278048523358396, 0.9206397981627638}, {-0.22933004936967505, 0.9105568230868842}}","{0.09077700235108066, 0.45975204111464074, -0.8833954927070171}"
"{{-0.22933004936967505, 0.9105568230868842}, {-0.3497237198752786, 0.9231099501507185}, {-0.34499755610183885, 0.9328587355881889}}","{0.09078564735265496, 0.4597803690225548, -0.883379860816536}"
"{{-0.4667717630362841, 1.0724638711121717}, {-0.4755673878339037, 1.0089204219404757}, {-0.4795124086418528, 0.9907655718787681}}","{0.8066008677747482, 0.15926799363060917, -0.5692352293295834}"
"{{-0.4795124086418528, 0.9907655718787681}, {-0.4705518121521985, 1.0554949897226207}, {-0.4667717630362841, 1.0724638711121717}}","{0.8066204993731556, 0.15926681672146759, -0.5692077398300304}"
"{{-0.4755673878339037, 1.0089204219404757}, {-0.4341766959524494, 0.9575167245322272}, {-0.4373493244723005, 0.9384019642679665}}","{0.6823742316248254, 0.45671160028857705, -0.5707713396591284}"
"{{-0.4373493244723005, 0.9384019642679665}, {-0.4795124086418528, 0.9907655718787681}, {-0.4755673878339037, 1.0089204219404757}}","{0.6823846910863357, 0.4567151110192749, -0.5707560255815592}"
"{{-0.4341766959524494, 0.9575167245322272}, {-0.3497237198752786, 0.9231099501507185}, {-0.3513200224340342, 0.9033529318016503}}","{0.4567034667514163, 0.6823709423928371, -0.5707817800483379}"
"{{-0.3513200224340342, 0.9033529318016503}, {-0.4373493244723005, 0.9384019642679665}, {-0.4341766959524494, 0.9575167245322272}}","{0.4567047719366883, 0.6823720751982879, -0.5707793814424619}"
"{{-0.3497237198752786, 0.9231099501507185}, {-0.22933004936967505, 0.9105568230868842}, {-0.22867938534499374, 0.8905654801431533}}","{0.15926252050258227, 0.8065788214704849, -0.5692679986776423}"
"{{-0.22867938534499374, 0.8905654801431533}, {-0.3513200224340342, 0.9033529318016503}, {-0.3497237198752786, 0.9231099501507185}}","{0.15926330670646205, 0.806580448938882, -0.5692654728037481}"
"{{-0.22281581136178874, 0.9015596813616626}, {-0.09562756219859404, 0.9134823483701755}, {-0.09780390888192418, 0.930181270727712}}","{0.18719086479527886, -0.9480311539631883, 0.25728682681478493}"
"{{-0.09780390888192418, 0.930181270727712}, {-0.22523462734727884, 0.9182357393788769}, {-0.22281581136178874, 0.9015596813616626}}","{0.1871938238366787, -0.9480348518747034, 0.257271047629367}"
"{{-0.09562756219859404, 0.9134823483701755}, {0.019555019233988554, 0.9461852100727993}, {0.017597267017762295, 0.9629466022415197}}","{0.537337576119843, -0.8028455549084711, 0.2582776495428145}"
"{{0.017597267017762295, 0.9629466022415197}, {-0.09780390888192418, 0.930181270727712}, {-0.09562756219859404, 0.9134823483701755}}","{0.5373496727978286, -0.8028519055216835, 0.2582327379405409}"
"{{0.019555019233988554, 0.9461852100727993}, {0.11103410283946495, 0.9950511637142104}, {0.10925095303163398, 1.011905632620269}}","{0.802849270894558, -0.5373400631971449, 0.2582609236941678}"
"{{0.10925095303163398, 1.011905632620269}, {0.017597267017762295, 0.9629466022415197}, {0.019555019233988554, 0.9461852100727993}}","{0.8028441680241862, -0.5373395901853322, 0.25827777041203426}"
"{{0.11103410283946495, 0.9950511637142104}, {0.16711185852134147, 1.0554631065390871}, {0.16543473345648196, 1.0724322607873469}}","{0.9480223932387141, -0.1871891349707012, 0.2573203638790788}"
"{{0.16543473345648196, 1.0724322607873469}, {0.10925095303163398, 1.011905632620269}, {0.11103410283946495, 0.9950511637142104}}","{0.9480293051882259, -0.1871871118469513, 0.25729636931508876}"
"{{-0.22523462734727884, 0.9182357393788769}, {-0.09780390888192418, 0.930181270727712}, {-0.09758521297853691, 0.9328463649710326}}","{0.1421057838200705, -0.7196884648926217, -0.6795987490463654}"
"{{-0.09758521297853691, 0.9328463649710326}, {-0.2278048523358396, 0.9206397981627638}, {-0.22523462734727884, 0.9182357393788769}}","{0.1421118737796732, -0.7197442341634354, -0.6795384115113141}"
"{{-0.09780390888192418, 0.930181270727712}, {0.017597267017762295, 0.9629466022415197}, {0.020342397320337456, 0.9663286065916965}}","{0.4072499151058037, -0.6084704000354975, -0.6811103280137202}"
"{{0.020342397320337456, 0.9663286065916965}, {-0.09758521297853691, 0.9328463649710326}, {-0.09780390888192418, 0.930181270727712}}","{0.4072758198082529, -0.6085178610362695, -0.681052435132097}"
"{{0.017597267017762295, 0.9629466022415197}, {0.10925095303163398, 1.011905632620269}, {0.11400161968152642, 1.0163591310145053}}","{0.6084749490043747, -0.4072492430762751, -0.6811066659840621}"
"{{0.11400161968152642, 1.0163591310145053}, {0.020342397320337456, 0.9663286065916965}, {0.017597267017762295, 0.9629466022415197}}","{0.6084595750412981, -0.40723680948841623, -0.6811278342119477}"
"{{0.10925095303163398, 1.011905632620269}, {0.16543473345648196, 1.0724322607873469}, {0.17141519673380198, 1.0782105462741334}}","{0.719626775390534, -0.14208933938634302, -0.6796675097235226}"
"{{0.17141519673380198, 1.0782105462741334}, {0.11400161968152642, 1.0163591310145053}, {0.10925095303163398, 1.011905632620269}}","{0.7196308738114909, -0.1420905230537648, -0.6796629228636926}"
"{{-0.2278048523358396, 0.9206397981627638}, {-0.09758521297853691, 0.9328463649710326}, {-0.09555315454439031, 0.923097241622452}}","{-0.09078280536527211, 0.45978143124154536, -0.8833796000222595}"
"{{-0.09555315454439031, 0.923097241622452}, {-0.22933004936967505, 0.9105568230868842}, {-0.2278048523358396, 0.9206397981627638}}","{-0.09078002873588417, 0.45975191375712904, -0.8833952479945597}"
"{{-0.09758521297853691, 0.9328463649710326}, {0.020342397320337456, 0.9663286065916965}, {0.025594898178955067, 0.9574937359525207}}","{-0.25985934422732687, 0.3882603499366802, -0.8841532796324346}"
"{{0.025594898178955067, 0.9574937359525207}, {-0.09555315454439031, 0.923097241622452}, {-0.09758521297853691, 0.9328463649710326}}","{-0.25986264689074734, 0.38826663724024923, -0.8841495479595539}"
"{{0.020342397320337456, 0.9663286065916965}, {0.11400161968152642, 1.0163591310145053}, {0.12181253107388049, 1.0088905529445304}}","{-0.38824408709977565, 0.2598484596491462, -0.8841636199539245}"
"{{0.12181253107388049, 1.0088905529445304}, {0.025594898178955067, 0.9574937359525207}, {0.020342397320337456, 0.9663286065916965}}","{-0.3882589440904785, 0.2598608732039706, -0.884153447604779}"
"{{0.11400161968152642, 1.0163591310145053}, {0.17141519673380198, 1.0782105462741334}, {0.18079524707030462, 1.0724314927616663}}","{-0.4597208790104062, 0.09077150874774224, -0.8834122744231927}"
"{{0.18079524707030462, 1.0724314927616663}, {0.12181253107388049, 1.0088905529445304}, {0.11400161968152642, 1.0163591310145053}}","{-0.45974900895655724, 0.09078009354512638, -0.8833967530953472}"
"{{-0.22933004936967505, 0.9105568230868842}, {-0.09555315454439031, 0.923097241622452}, {-0.09240658373814, 0.9033399861297157}}","{-0.15926366794265298, 0.8065846326359558, -0.5692594438996801}"
"{{-0.09240658373814, 0.9033399861297157}, {-0.22867938534499374, 0.8905654801431533}, {-0.22933004936967505, 0.9105568230868842}}","{-0.15926402816303836, 0.8065786227585974, -0.5692678584305697}"
"{{-0.09555315454439031, 0.923097241622452}, {0.025594898178955067, 0.9574937359525207}, {0.031003647436196158, 0.938378546619371}}","{-0.4567044104680933, 0.6823723524211929, -0.5707793392460511}"
"{{0.031003647436196158, 0.938378546619371}, {-0.09240658373814, 0.9033399861297157}, {-0.09555315454439031, 0.923097241622452}}","{-0.45670771901488083, 0.6823822097590418, -0.5707649071172748}"
"{{0.025594898178955067, 0.9574937359525207}, {0.12181253107388049, 1.0088905529445304}, {0.12901662880263762, 0.9907351454268959}}","{-0.6823980002396679, 0.4567275085711855, -0.570730192107672}"
"{{0.12901662880263762, 0.9907351454268959}, {0.031003647436196158, 0.938378546619371}, {0.025594898178955067, 0.9574937359525207}}","{-0.682378904989806, 0.45670550718462266, -0.5707706279515001}"
"{{0.12181253107388049, 1.0088905529445304}, {0.18079524707030462, 1.0724314927616663}, {0.1891002609583601, 1.0554620071189653}}","{-0.8066198501792858, 0.15927174181587112, -0.5692072817135114}"
"{{0.1891002609583601, 1.0554620071189653}, {0.12901662880263762, 0.9907351454268959}, {0.12181253107388049, 1.0088905529445304}}","{-0.806621344885657, 0.15927246391605107, -0.5692049615147118}"
"{{0.1891002609583601, 1.0554620071189653}, {0.1980599779119168, 1.1201914250067946}, {0.2204200286141559, 1.038124129252565}}","{-0.892329860469887, -0.17619615003251834, -0.4155747066743959}"
"{{0.2204200286141559, 1.038124129252565}, {0.2111647008261305, 0.97126709917047}, {0.1891002609583601, 1.0554620071189653}}","{-0.8923356348136866, -0.17618987592227506, -0.41556496780184415}"
"{{0.1980599779119168, 1.1201914250067946}, {0.15589777327846194, 1.1725550325736191}, {0.17687152794358751, 1.0922082607390091}}","{-0.7553685335135143, -0.5055563216960053, -0.416930670700595}"
"{{0.17687152794358751, 1.0922082607390091}, {0.2204200286141559, 1.038124129252565}, {0.1980599779119168, 1.1201914250067946}}","{-0.7553627112180888, -0.5055591443413557, -0.41693779640864204}"
"{{0.15589777327846194, 1.1725550325736191}, {0.0698675917040982, 1.2076040650839122}, {0.08801488821027162, 1.1284093889693319}}","{-0.5055544012251787, -0.7553656640741083, -0.4169381979859033}"
"{{0.08801488821027162, 1.1284093889693319}, {0.17687152794358751, 1.0922082607390091}, {0.15589777327846194, 1.1725550325736191}}","{-0.505560855406417, -0.7553652677433904, -0.41693108995095096}"
"{{0.0698675917040982, 1.2076040650839122}, {-0.05277216584884473, 1.2203915166984327}, {-0.03865625161032207, 1.1416165999875354}}","{-0.1761970600381036, -0.8923344691129041, -0.4155644249294212}"
"{{-0.03865625161032207, 1.1416165999875354}, {0.08801488821027162, 1.1284093889693319}, {0.0698675917040982, 1.2076040650839122}}","{-0.1761890651877519, -0.8923315287474222, -0.4155741282990975}"
"{{0.2111647008261305, 0.97126709917047}, {0.2204200286141559, 1.038124129252565}, {0.23533548052884068, 0.9688489524914223}}","{-0.9085985725098519, -0.17940096025313593, -0.37717890913108115}"
"{{0.23533548052884068, 0.9688489524914223}, {0.22593451804470063, 0.9009339197579525}, {0.2111647008261305, 0.97126709917047}}","{-0.9085941010804852, -0.17940562615603825, -0.37718746106585327}"
