"{-0.09758521297853691, 0.9328463649710326}","{0.020342397320337456, 0.9663286065916965}","{0.025594898178955067, 0.9574937359525207}"
"{0.025594898178955067, 0.9574937359525207}","{-0.09555315454439031, 0.923097241622452}","{-0.09758521297853691, 0.9328463649710326}"
"{0.020342397320337456, 0.9663286065916965}","{0.11400161968152642, 1.0163591310145053}","{0.12181253107388049, 1.0088905529445304}"
"{0.12181253107388049, 1.0088905529445304}","{0.025594898178955067, 0.9574937359525207}","{0.020342397320337456, 0.9663286065916965}"
"{0.11400161968152642, 1.0163591310145053}","{0.17141519673380198, 1.0782105462741334}","{0.18079524707030462, 1.0724314927616663}"
"{0.18079524707030462, 1.0724314927616663}","{0.12181253107388049, 1.0088905529445304}","{0.11400161968152642, 1.0163591310145053}"
"{-0.22933004936967505, 0.9105568230868842}","{-0.09555315454439031, 0.923097241622452}","{-0.09240658373814, 0.9033399861297157}"
"{-0.09240658373814, 0.9033399861297157}","{-0.22867938534499374, 0.8905654801431533}","{-0.22933004936967505, 0.9105568230868842}"
"{-0.09555315454439031, 0.923097241622452}","{0.025594898178955067, 0.9574937359525207}","{0.031003647436196158, 0.938378546619371}"
"{0.031003647436196158, 0.938378546619371}","{-0.09240658373814, 0.9033399861297157}","{-0.09555315454439031, 0.923097241622452}"
"{0.025594898178955067, 0.9574937359525207}","{0.12181253107388049, 1.0088905529445304}","{0.12901662880263762, 0.9907351454268959}"
"{0.12901662880263762, 0.9907351454268959}","{0.031003647436196158, 0.938378546619371}","{0.025594898178955067, 0.9574937359525207}"
"{0.12181253107388049, 1.0088905529445304}","{0.18079524707030462, 1.0724314927616663}","{0.1891002609583601, 1.0554620071189653}"
"{0.1891002609583601, 1.0554620071189653}","{0.12901662880263762, 0.9907351454268959}","{0.12181253107388049, 1.0088905529445304}"
"{0.1891002609583601, 1.0554620071189653}","{0.1980599779119168, 1.1201914250067946}","{0.2204200286141559, 1.038124129252565}"
"{0.2204200286141559, 1.038124129252565}","{0.2111647008261305, 0.97126709917047}","{0.1891002609583601, 1.0554620071189653}"
"{0.1980599779119168, 1.1201914250067946}","{0.15589777327846194, 1.1725550325736191}","{0.17687152794358751, 1.0922082607390091}"
